trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",25,0,-166.5691044927334,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-139.29325264357027,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",25,0,-115.3284095428627,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-139.49021186741714,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-23.38615085911461,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,8,-1.1311808575114344,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-138.72931034462715,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,9,0.9120324385272203,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-107.96612947860278,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-116.07989364808176,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",25,8,-45.10194270573096,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,12,-76.5033978253755,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,0,-86.6518310193379,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,8,-62.59243420658772,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-49.112026354643994,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-65.22330871653503,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-63.65211188641737,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-80.43871487247465,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",25,0,-74.42819253106916,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-35.05826507618697,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9003245225862656}",20,0,-67.67868681357623,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,15,3.0913854671767167,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8913661439068313}",20,0,-121.35835454392405,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-147.39173282183916,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
