trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-173.44293361614427,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.59955899967,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,4,-55.489511689465665,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-64.42571641866678,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.57312325528096,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.57719865626177,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.72046643332814,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.2279859137274,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.94502370625258,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.729103774716236,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,8,-64.58021608811185,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.01073925290422,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.08108251753481,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,6,-55.44380633892817,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,17,-50.41263700986756,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,1,-99.75682996502259,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.86432697114019,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.08353213152772,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,5,-260.43737534899515,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.77354017240845,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.05585867499596,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.71909742310531,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.253076883447775,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.52739881484524,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.6227467531709,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-171.97140165718596,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-223.05730130771028,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-15.10933241055211,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.63112199874958,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.17169315926357,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
